ID;Data;Produto;Quantidade;Vendedor;Origem;País;Método_Transporte;Data_Entrega;Total
36;05/11/2022;maçã;264;Vendedor 6;Terra Prometida;Brasil;Caminhão;15/11/2022;3605
37;07/07/2023;manga;759;Vendedor 15;Fazenda Sol Nascente;Brasil;Caminhão;04/08/2023;238
38;25/06/2022;limão;464;Vendedor 41;Fazenda Luz da Lua;Brasil;Caminhão;12/07/2022;3165
39;07/11/2023;maçã;885;Vendedor 15;Terra Prometida;Brasil;Caminhão;25/11/2023;4158
40;10/02/2022;limão;240;Vendedor 50;Fazenda Luz da Lua;Brasil;Trem;28/02/2022;813
41;15/05/2023;limão;254;Vendedor 31;Fazenda Luz da Lua;Brasil;Caminhão;17/06/2023;0
42;14/06/2023;banana;826;Vendedor 45;Quinta dos Pinhais;Brasil;Avião;01/07/2023;2699
43;07/07/2022;uva;438;Vendedor 1;Refúgio do Vale;Brasil;Caminhão;20/07/2022;2649
44;28/12/2023;uva;517;Vendedor 47;Sítio Águas Claras;Brasil;Barco;22/01/2024;3889
45;06/04/2023;manga;37;Vendedor 50;Rancho Estrela Cadente;Brasil;Caminhão;06/05/2023;1088
46;31/01/2023;manga;336;Vendedor 20;Fazenda Sol Nascente;Brasil;Avião;18/02/2023;0
47;08/06/2023;limão;736;Vendedor 30;Fazenda Luz da Lua;Brasil;Caminhão;16/06/2023;923
48;06/04/2022;laranja;354;Vendedor 43;Recanto Verde;Brasil;Avião;27/04/2022;2818
49;11/07/2023;uva;899;Vendedor 39;Sítio Águas Claras;Brasil;Caminhão;26/07/2023;839
50;18/10/2023;maçã;566;Vendedor 32;Terra Prometida;Brasil;Caminhão;02/11/2023;0
51;01/09/2023;limão;888;Vendedor 24;Fazenda Luz da Lua;Brasil;Avião;17/09/2023;1088
52;07/02/2022;maçã;271;Vendedor 30;Terra Prometida;Brasil;Caminhão;05/03/2022;2075
53;10/02/2022;banana;534;Vendedor 32;Quinta dos Pinhais;Brasil;Avião;15/02/2022;856
54;12/03/2023;laranja;330;Vendedor 13;Recanto Verde;Brasil;Avião;23/03/2023;1505
55;22/11/2023;manga;82;Vendedor 6;Fazenda Sol Nascente;Brasil;Caminhão;28/11/2023;785
56;24/12/2023;uva;1;Vendedor 7;Sítio Águas Claras;Brasil;Caminhão;12/01/2024;3585
57;09/08/2022;banana;71;Vendedor 38;Recanto Verde;Brasil;Barco;17/08/2022;2956
58;28/01/2022;uva;942;Vendedor 9;Refúgio do Vale;Brasil;Caminhão;03/03/2022;0
59;21/06/2023;limão;723;Vendedor 35;Fazenda Luz da Lua;Brasil;Avião;04/07/2023;0
60;05/02/2023;banana;505;Vendedor 31;Recanto Verde;Brasil;Caminhão;08/03/2023;1629
61;11/02/2023;banana;753;Vendedor 19;Recanto Verde;Brasil;Caminhão;18/03/2023;3215
62;10/03/2022;limão;70;Vendedor 33;Fazenda Luz da Lua;Brasil;Caminhão;29/03/2022;1576
63;27/01/2022;maçã;466;Vendedor 35;Terra Prometida;Brasil;Barco;03/03/2022;3592
64;15/06/2022;manga;256;Vendedor 1;Fazenda Sol Nascente;Brasil;Avião;18/07/2022;3500
65;04/12/2022;banana;700;Vendedor 3;Recanto Verde;Brasil;Caminhão;20/12/2022;514
66;30/11/2022;limão;483;Vendedor 1;Fazenda Luz da Lua;Brasil;Avião;27/12/2022;965
67;14/06/2023;banana;728;Vendedor 50;Quinta dos Pinhais;Brasil;Barco;02/07/2023;3000
68;25/09/2022;maçã;72;Vendedor 7;Terra Prometida;Brasil;Caminhão;17/10/2022;2617
69;17/03/2023;limão;779;Vendedor 36;Fazenda Luz da Lua;Brasil;Avião;10/04/2023;2481
70;28/07/2023;limão;126;Vendedor 27;Fazenda Luz da Lua;Brasil;Avião;26/08/2023;1395
71;07/01/2022;maçã;778;Vendedor 15;Chácara Bela Vista;Brasil;Barco;03/02/2022;383
72;23/09/2022;maçã;49;Vendedor 26;Terra Prometida;Brasil;Caminhão;19/10/2022;2791
73;08/07/2023;banana;513;Vendedor 21;Recanto Verde;Brasil;Barco;16/07/2023;73
74;25/04/2023;banana;572;Vendedor 42;Recanto Verde;Brasil;Avião;04/05/2023;686
75;22/09/2023;limão;70;Vendedor 23;Fazenda Luz da Lua;Brasil;Avião;29/09/2023;2522
76;30/10/2023;limão;932;Vendedor 2;Fazenda Luz da Lua;Brasil;Avião;14/11/2023;2929
77;22/11/2023;maçã;910;Vendedor 23;Chácara Bela Vista;Brasil;Avião;18/12/2023;125
78;21/07/2022;laranja;926;Vendedor 49;Quinta dos Pinhais;Brasil;Caminhão;05/08/2022;924
79;07/08/2023;limão;220;Vendedor 38;Fazenda Luz da Lua;Brasil;Barco;04/09/2023;4073
80;22/01/2023;laranja;579;Vendedor 18;Recanto Verde;Brasil;Caminhão;16/02/2023;1448
81;15/03/2022;banana;187;Vendedor 45;Quinta dos Pinhais;Brasil;Caminhão;14/04/2022;0
82;06/09/2023;maçã;179;Vendedor 23;Chácara Bela Vista;Brasil;Caminhão;19/09/2023;2459
83;31/08/2023;uva;709;Vendedor 32;Sítio Águas Claras;Brasil;Caminhão;21/09/2023;532
84;21/01/2023;limão;651;Vendedor 41;Fazenda Luz da Lua;Brasil;Caminhão;19/02/2023;3515
85;12/07/2022;limão;826;Vendedor 23;Fazenda Luz da Lua;Brasil;Caminhão;13/08/2022;0
86;09/04/2023;banana;802;Vendedor 11;Quinta dos Pinhais;Brasil;Avião;03/05/2023;4712
87;02/05/2022;manga;724;Vendedor 43;Rancho Estrela Cadente;Brasil;Avião;29/05/2022;344
88;24/04/2023;limão;313;Vendedor 8;Fazenda Luz da Lua;Brasil;Caminhão;27/05/2023;3140
89;08/01/2022;banana;680;Vendedor 23;Recanto Verde;Brasil;Caminhão;10/02/2022;4726
90;13/01/2022;maçã;622;Vendedor 11;Chácara Bela Vista;Brasil;Avião;08/02/2022;447
91;02/02/2023;laranja;848;Vendedor 12;Recanto Verde;Brasil;Caminhão;08/03/2023;1290
92;18/08/2023;limão;94;Vendedor 36;Fazenda Luz da Lua;Brasil;Barco;22/09/2023;2370
93;22/08/2022;uva;334;Vendedor 40;Refúgio do Vale;Brasil;Caminhão;30/08/2022;20
94;23/06/2023;limão;6;Vendedor 13;Fazenda Luz da Lua;Brasil;Caminhão;19/07/2023;2735
95;01/07/2022;limão;684;Vendedor 21;Fazenda Luz da Lua;Brasil;Trem;20/07/2022;2805
96;07/07/2022;banana;455;Vendedor 32;Recanto Verde;Brasil;Caminhão;29/07/2022;2212
97;16/05/2022;limão;459;Vendedor 17;Fazenda Luz da Lua;Brasil;Caminhão;22/05/2022;1023
98;03/05/2023;melancia;894;Vendedor 10;Fazenda Campo Sereno;Brasil;Caminhão;28/05/2023;943
99;10/12/2022;melancia;816;Vendedor 36;Fazenda Campo Sereno;Brasil;Caminhão;18/12/2022;1332
100;14/11/2023;limão;11;Vendedor 40;Fazenda Luz da Lua;Brasil;Trem;28/11/2023;0
101;09/06/2022;maçã;389;Vendedor 48;Terra Prometida;Brasil;Barco;27/06/2022;2904
102;04/01/2023;uva;920;Vendedor 11;Sítio Águas Claras;Brasil;Avião;24/01/2023;3017
103;20/10/2022;manga;971;Vendedor 34;Fazenda Sol Nascente;Brasil;Avião;12/11/2022;1619
104;04/12/2023;uva;589;Vendedor 38;Refúgio do Vale;Brasil;Avião;25/12/2023;735
105;23/11/2022;uva;999;Vendedor 10;Sítio Águas Claras;Brasil;Avião;07/12/2022;0
106;15/04/2022;banana;237;Vendedor 9;Recanto Verde;Brasil;Avião;18/05/2022;0
107;05/07/2023;maçã;713;Vendedor 5;Chácara Bela Vista;Brasil;Caminhão;27/07/2023;1207
108;16/01/2023;manga;429;Vendedor 15;Rancho Estrela Cadente;Brasil;Caminhão;01/02/2023;0
109;05/02/2023;limão;202;Vendedor 24;Fazenda Luz da Lua;Brasil;Barco;10/03/2023;613
110;19/01/2022;limão;24;Vendedor 10;Fazenda Luz da Lua;Brasil;Caminhão;01/02/2022;153
111;05/12/2022;uva;522;Vendedor 27;Sítio Águas Claras;Brasil;Avião;24/12/2022;3162
112;26/08/2023;manga;149;Vendedor 28;Fazenda Sol Nascente;Brasil;Caminhão;16/09/2023;3653
113;01/07/2022;limão;346;Vendedor 42;Fazenda Luz da Lua;Brasil;Caminhão;02/08/2022;3429
114;28/01/2022;laranja;987;Vendedor 35;Recanto Verde;Brasil;Caminhão;25/02/2022;2311
115;07/07/2022;banana;717;Vendedor 6;Quinta dos Pinhais;Brasil;Avião;03/08/2022;0
116;19/02/2022;banana;717;Vendedor 23;Recanto Verde;Brasil;Avião;05/03/2022;1069
117;09/02/2022;manga;535;Vendedor 24;Rancho Estrela Cadente;Brasil;Avião;11/03/2022;734
118;15/03/2023;laranja;396;Vendedor 46;Quinta dos Pinhais;Brasil;Avião;29/03/2023;0
119;29/04/2023;limão;765;Vendedor 18;Fazenda Luz da Lua;Brasil;Caminhão;24/05/2023;4469
120;15/04/2022;manga;216;Vendedor 50;Rancho Estrela Cadente;Brasil;Trem;12/05/2022;2548
121;30/01/2023;limão;192;Vendedor 9;Fazenda Luz da Lua;Brasil;Caminhão;15/02/2023;3906
122;17/06/2022;maçã;370;Vendedor 38;Terra Prometida;Brasil;Caminhão;29/06/2022;2326
123;23/09/2022;limão;817;Vendedor 17;Fazenda Luz da Lua;Brasil;Caminhão;24/10/2022;0
124;10/12/2023;uva;822;Vendedor 4;Sítio Águas Claras;Brasil;Barco;09/01/2024;522
125;16/01/2023;uva;943;Vendedor 44;Refúgio do Vale;Brasil;Avião;19/02/2023;3093
126;09/12/2022;limão;845;Vendedor 42;Fazenda Luz da Lua;Brasil;Caminhão;19/12/2022;2967
127;23/06/2022;limão;29;Vendedor 50;Fazenda Luz da Lua;Brasil;Avião;01/07/2022;732
128;23/02/2022;maçã;46;Vendedor 49;Chácara Bela Vista;Brasil;Avião;17/03/2022;2070
129;12/06/2022;manga;526;Vendedor 20;Rancho Estrela Cadente;Brasil;Barco;16/07/2022;3717
130;29/09/2022;banana;142;Vendedor 21;Quinta dos Pinhais;Brasil;Avião;02/11/2022;0
131;02/07/2022;laranja;646;Vendedor 16;Quinta dos Pinhais;Brasil;Trem;24/07/2022;328
132;03/12/2023;banana;815;Vendedor 29;Quinta dos Pinhais;Brasil;Avião;06/01/2024;2711
133;06/11/2023;maçã;895;Vendedor 37;Chácara Bela Vista;Brasil;Caminhão;18/11/2023;806
134;18/12/2022;laranja;237;Vendedor 37;Quinta dos Pinhais;Brasil;Avião;16/01/2023;486
135;25/08/2022;maçã;678;Vendedor 30;Chácara Bela Vista;Brasil;Caminhão;31/08/2022;3644
136;16/07/2022;limão;79;Vendedor 15;Fazenda Luz da Lua;Brasil;Caminhão;15/08/2022;36
137;23/06/2023;manga;844;Vendedor 45;Rancho Estrela Cadente;Brasil;Avião;20/07/2023;3617
138;28/07/2023;maçã;428;Vendedor 17;Chácara Bela Vista;Brasil;Caminhão;28/08/2023;1209
139;16/02/2022;limão;786;Vendedor 7;Fazenda Luz da Lua;Brasil;Caminhão;14/03/2022;2974
140;14/09/2023;manga;654;Vendedor 14;Rancho Estrela Cadente;Brasil;Caminhão;08/10/2023;471
141;12/05/2023;limão;905;Vendedor 30;Fazenda Luz da Lua;Brasil;Trem;23/05/2023;0
142;29/03/2023;maçã;504;Vendedor 46;Chácara Bela Vista;Brasil;Caminhão;17/04/2023;831
143;06/02/2022;uva;406;Vendedor 16;Sítio Águas Claras;Brasil;Caminhão;18/02/2022;692
144;02/04/2023;limão;195;Vendedor 41;Fazenda Luz da Lua;Brasil;Caminhão;28/04/2023;0
145;05/07/2023;limão;227;Vendedor 41;Fazenda Luz da Lua;Brasil;Caminhão;16/07/2023;3246
146;13/12/2022;maçã;963;Vendedor 44;Chácara Bela Vista;Brasil;Barco;26/12/2022;0
147;03/05/2022;limão;418;Vendedor 16;Fazenda Luz da Lua;Brasil;Caminhão;02/06/2022;0
148;20/07/2023;limão;769;Vendedor 46;Fazenda Luz da Lua;Brasil;Avião;24/08/2023;1617
149;16/02/2023;uva;347;Vendedor 19;Sítio Águas Claras;Brasil;Avião;27/02/2023;3497
150;24/09/2022;maçã;127;Vendedor 32;Terra Prometida;Brasil;Barco;06/10/2022;3119
151;13/07/2023;limão;14;Vendedor 13;Fazenda Luz da Lua;Brasil;Avião;27/07/2023;213
152;16/06/2022;maçã;519;Vendedor 35;Chácara Bela Vista;Brasil;Barco;18/07/2022;3638
153;21/07/2022;maçã;585;Vendedor 26;Chácara Bela Vista;Brasil;Avião;19/08/2022;3248
154;21/01/2022;banana;297;Vendedor 29;Quinta dos Pinhais;Brasil;Caminhão;22/02/2022;2717
155;29/08/2022;manga;971;Vendedor 47;Rancho Estrela Cadente;Brasil;Caminhão;14/09/2022;0
156;01/06/2023;uva;252;Vendedor 25;Refúgio do Vale;Brasil;Caminhão;12/06/2023;1991
157;25/06/2023;banana;656;Vendedor 49;Quinta dos Pinhais;Brasil;Barco;27/07/2023;1019
158;18/03/2023;maçã;66;Vendedor 20;Terra Prometida;Brasil;Caminhão;24/03/2023;1238
159;15/11/2023;manga;709;Vendedor 39;Fazenda Sol Nascente;Brasil;Avião;05/12/2023;626
160;03/09/2023;laranja;829;Vendedor 38;Quinta dos Pinhais;Brasil;Barco;14/09/2023;0
161;29/05/2023;limão;146;Vendedor 26;Fazenda Luz da Lua;Brasil;Avião;08/06/2023;1202
162;12/10/2023;limão;374;Vendedor 5;Fazenda Luz da Lua;Brasil;Caminhão;23/10/2023;973
163;03/02/2023;uva;945;Vendedor 49;Refúgio do Vale;Brasil;Caminhão;27/02/2023;0
164;27/06/2022;limão;406;Vendedor 40;Fazenda Luz da Lua;Brasil;Avião;18/07/2022;2964
165;28/02/2022;uva;507;Vendedor 42;Refúgio do Vale;Brasil;Caminhão;03/04/2022;3262
166;02/02/2023;uva;869;Vendedor 14;Sítio Águas Claras;Brasil;Avião;06/03/2023;0
167;10/01/2022;banana;882;Vendedor 32;Recanto Verde;Brasil;Barco;03/02/2022;3206
168;23/01/2022;banana;971;Vendedor 23;Quinta dos Pinhais;Brasil;Avião;26/02/2022;1361
169;30/03/2022;manga;490;Vendedor 14;Fazenda Sol Nascente;Brasil;Caminhão;30/04/2022;3496
170;08/02/2022;banana;94;Vendedor 23;Recanto Verde;Brasil;Caminhão;10/03/2022;1434
171;20/09/2023;maçã;751;Vendedor 36;Terra Prometida;Brasil;Barco;25/10/2023;3602
172;10/06/2023;maçã;435;Vendedor 37;Chácara Bela Vista;Brasil;Barco;15/06/2023;3039
173;08/02/2022;limão;856;Vendedor 12;Fazenda Luz da Lua;Brasil;Caminhão;15/02/2022;1088
174;14/12/2022;uva;695;Vendedor 7;Refúgio do Vale;Brasil;Caminhão;28/12/2022;1257
175;06/10/2023;banana;560;Vendedor 32;Recanto Verde;Brasil;Avião;29/10/2023;762
176;24/10/2023;manga;960;Vendedor 20;Fazenda Sol Nascente;Brasil;Barco;01/11/2023;2625
177;16/09/2023;banana;76;Vendedor 48;Recanto Verde;Brasil;Caminhão;21/10/2023;3557
178;28/02/2023;maçã;1000;Vendedor 41;Terra Prometida;Brasil;Avião;19/03/2023;1555
179;21/03/2022;maçã;778;Vendedor 23;Chácara Bela Vista;Brasil;Avião;25/04/2022;1030
180;22/04/2023;banana;523;Vendedor 44;Recanto Verde;Brasil;Barco;04/05/2023;0
181;02/01/2022;maçã;550;Vendedor 6;Terra Prometida;Brasil;Avião;11/01/2022;0
182;13/07/2022;banana;287;Vendedor 27;Quinta dos Pinhais;Brasil;Avião;03/08/2022;2723
183;05/10/2023;limão;933;Vendedor 28;Fazenda Luz da Lua;Brasil;Trem;07/11/2023;0
184;28/02/2023;maçã;747;Vendedor 32;Chácara Bela Vista;Brasil;Avião;29/03/2023;0
185;17/02/2022;maçã;835;Vendedor 48;Terra Prometida;Brasil;Caminhão;21/03/2022;1863
186;07/10/2022;banana;161;Vendedor 44;Recanto Verde;Brasil;Caminhão;03/11/2022;693
187;26/12/2022;limão;532;Vendedor 48;Fazenda Luz da Lua;Brasil;Caminhão;05/01/2023;251
188;03/07/2022;laranja;974;Vendedor 44;Recanto Verde;Brasil;Caminhão;02/08/2022;3296
189;12/09/2022;maçã;97;Vendedor 4;Chácara Bela Vista;Brasil;Caminhão;03/10/2022;3284
190;24/08/2022;maçã;425;Vendedor 17;Terra Prometida;Brasil;Avião;26/09/2022;0
191;11/08/2022;limão;127;Vendedor 46;Fazenda Luz da Lua;Brasil;Avião;01/09/2022;2285
192;10/11/2023;manga;575;Vendedor 37;Fazenda Sol Nascente;Brasil;Caminhão;16/11/2023;0
193;03/04/2023;laranja;755;Vendedor 35;Quinta dos Pinhais;Brasil;Avião;27/04/2023;1050
194;07/05/2023;limão;621;Vendedor 28;Fazenda Luz da Lua;Brasil;Avião;18/05/2023;4303
195;24/09/2022;uva;640;Vendedor 41;Sítio Águas Claras;Brasil;Avião;29/10/2022;1407
196;11/02/2022;limão;177;Vendedor 15;Fazenda Luz da Lua;Brasil;Caminhão;02/03/2022;376
197;07/02/2022;uva;88;Vendedor 47;Sítio Águas Claras;Brasil;Barco;08/03/2022;0
198;05/02/2023;maçã;164;Vendedor 4;Terra Prometida;Brasil;Avião;01/03/2023;61
199;23/12/2023;uva;355;Vendedor 18;Sítio Águas Claras;Brasil;Caminhão;26/01/2024;310
200;15/08/2023;banana;943;Vendedor 47;Quinta dos Pinhais;Brasil;Avião;14/09/2023;2422
201;13/10/2023;uva;64;Vendedor 10;Refúgio do Vale;Brasil;Caminhão;29/10/2023;425
202;27/12/2023;banana;115;Vendedor 9;Quinta dos Pinhais;Brasil;Avião;30/01/2024;0
203;20/08/2022;laranja;673;Vendedor 34;Quinta dos Pinhais;Brasil;Caminhão;21/09/2022;662
204;03/07/2022;uva;6;Vendedor 38;Refúgio do Vale;Brasil;Caminhão;04/08/2022;1190
205;29/04/2023;maçã;466;Vendedor 25;Chácara Bela Vista;Brasil;Avião;30/05/2023;108
206;20/01/2022;maçã;329;Vendedor 9;Terra Prometida;Brasil;Caminhão;03/02/2022;546
207;02/03/2022;laranja;553;Vendedor 21;Quinta dos Pinhais;Brasil;Barco;04/04/2022;0
208;07/12/2022;uva;913;Vendedor 34;Refúgio do Vale;Brasil;Avião;21/12/2022;539
209;03/01/2022;banana;853;Vendedor 36;Quinta dos Pinhais;Brasil;Caminhão;26/01/2022;3525
210;11/05/2023;limão;598;Vendedor 50;Fazenda Luz da Lua;Brasil;Caminhão;07/06/2023;3229
211;25/03/2022;laranja;303;Vendedor 27;Quinta dos Pinhais;Brasil;Avião;01/04/2022;2367
212;21/12/2022;melancia;828;Vendedor 35;Fazenda Campo Sereno;Brasil;Caminhão;02/01/2023;230
213;01/07/2023;manga;888;Vendedor 33;Rancho Estrela Cadente;Brasil;Avião;02/08/2023;2744
214;15/05/2022;limão;183;Vendedor 16;Fazenda Luz da Lua;Brasil;Caminhão;03/06/2022;1335
215;06/06/2023;limão;872;Vendedor 20;Fazenda Luz da Lua;Brasil;Avião;17/06/2023;0
216;29/12/2022;banana;276;Vendedor 43;Recanto Verde;Brasil;Avião;10/01/2023;753
217;29/11/2022;limão;472;Vendedor 39;Fazenda Luz da Lua;Brasil;Caminhão;08/12/2022;1563
218;25/12/2022;maçã;407;Vendedor 28;Terra Prometida;Brasil;Caminhão;18/01/2023;0
219;28/04/2022;limão;879;Vendedor 44;Fazenda Luz da Lua;Brasil;Caminhão;20/05/2022;724
220;20/07/2023;laranja;255;Vendedor 2;Quinta dos Pinhais;Brasil;Caminhão;07/08/2023;0
221;12/04/2022;manga;227;Vendedor 23;Fazenda Sol Nascente;Brasil;Caminhão;07/05/2022;3657
222;03/02/2023;uva;858;Vendedor 37;Sítio Águas Claras;Brasil;Avião;25/02/2023;2070
223;19/06/2022;limão;933;Vendedor 48;Fazenda Luz da Lua;Brasil;Avião;10/07/2022;1213
224;17/03/2023;banana;974;Vendedor 34;Quinta dos Pinhais;Brasil;Caminhão;03/04/2023;0
225;21/08/2023;laranja;145;Vendedor 7;Quinta dos Pinhais;Brasil;Avião;10/09/2023;4368
226;28/02/2023;banana;674;Vendedor 44;Recanto Verde;Brasil;Caminhão;26/03/2023;0
227;05/04/2023;uva;982;Vendedor 14;Sítio Águas Claras;Brasil;Caminhão;30/04/2023;0
228;29/05/2023;banana;201;Vendedor 45;Recanto Verde;Brasil;Barco;08/06/2023;3468
229;28/02/2022;uva;412;Vendedor 20;Sítio Águas Claras;Brasil;Caminhão;17/03/2022;1813
230;18/11/2023;laranja;884;Vendedor 47;Recanto Verde;Brasil;Trem;19/12/2023;1045
231;28/07/2022;limão;834;Vendedor 16;Fazenda Luz da Lua;Brasil;Caminhão;22/08/2022;181
232;02/02/2023;maçã;318;Vendedor 5;Terra Prometida;Brasil;Caminhão;03/03/2023;4220
233;18/07/2022;uva;225;Vendedor 13;Refúgio do Vale;Brasil;Avião;03/08/2022;0
234;18/12/2023;manga;821;Vendedor 34;Rancho Estrela Cadente;Brasil;Caminhão;09/01/2024;3010
235;10/12/2023;uva;397;Vendedor 31;Refúgio do Vale;Brasil;Caminhão;06/01/2024;0
236;16/04/2022;manga;526;Vendedor 23;Rancho Estrela Cadente;Brasil;Avião;01/05/2022;866
237;19/11/2022;limão;725;Vendedor 37;Fazenda Luz da Lua;Brasil;Avião;27/11/2022;3491
238;04/12/2022;manga;781;Vendedor 8;Rancho Estrela Cadente;Brasil;Avião;11/12/2022;0
239;09/04/2022;banana;930;Vendedor 36;Recanto Verde;Brasil;Trem;22/04/2022;1182
240;30/12/2022;limão;485;Vendedor 13;Fazenda Luz da Lua;Brasil;Barco;17/01/2023;1359
241;21/12/2023;manga;653;Vendedor 1;Rancho Estrela Cadente;Brasil;Caminhão;06/01/2024;1352
242;10/06/2022;melancia;250;Vendedor 7;Fazenda Campo Sereno;Brasil;Barco;13/07/2022;2859
243;12/01/2022;uva;878;Vendedor 31;Refúgio do Vale;Brasil;Avião;10/02/2022;0
244;19/02/2022;uva;615;Vendedor 16;Refúgio do Vale;Brasil;Avião;05/03/2022;1176
245;09/05/2023;manga;364;Vendedor 19;Fazenda Sol Nascente;Brasil;Caminhão;25/05/2023;834
246;15/07/2022;melancia;790;Vendedor 26;Fazenda Campo Sereno;Brasil;Avião;23/07/2022;4
247;22/11/2022;maçã;49;Vendedor 1;Terra Prometida;Brasil;Avião;06/12/2022;1786
248;21/10/2022;uva;578;Vendedor 32;Refúgio do Vale;Brasil;Caminhão;18/11/2022;0
249;07/10/2023;uva;900;Vendedor 22;Refúgio do Vale;Brasil;Avião;11/11/2023;3177
250;05/02/2023;banana;869;Vendedor 6;Quinta dos Pinhais;Brasil;Trem;09/03/2023;1929
251;25/02/2023;limão;889;Vendedor 32;Fazenda Luz da Lua;Brasil;Avião;12/03/2023;1273
252;14/10/2023;maçã;363;Vendedor 28;Chácara Bela Vista;Brasil;Caminhão;03/11/2023;2502
253;14/08/2023;limão;844;Vendedor 14;Fazenda Luz da Lua;Brasil;Caminhão;22/08/2023;0
254;23/12/2022;uva;256;Vendedor 46;Sítio Águas Claras;Brasil;Caminhão;28/12/2022;14
255;29/10/2023;limão;26;Vendedor 20;Fazenda Luz da Lua;Brasil;Avião;29/11/2023;2081
256;20/12/2022;limão;522;Vendedor 12;Fazenda Luz da Lua;Brasil;Avião;10/01/2023;1831
257;19/03/2023;banana;338;Vendedor 45;Recanto Verde;Brasil;Avião;10/04/2023;1459
258;01/04/2023;banana;258;Vendedor 19;Quinta dos Pinhais;Brasil;Caminhão;22/04/2023;0
259;20/05/2023;banana;529;Vendedor 25;Recanto Verde;Brasil;Avião;05/06/2023;3917
260;26/07/2023;maçã;637;Vendedor 25;Chácara Bela Vista;Brasil;Barco;25/08/2023;823
261;13/06/2022;uva;395;Vendedor 28;Refúgio do Vale;Brasil;Caminhão;26/06/2022;2738
262;24/05/2023;limão;574;Vendedor 39;Fazenda Luz da Lua;Brasil;Caminhão;11/06/2023;2580
